Index;Utgiftsområde;2025;2026;2027;2028;2029
1;Rikets styrelse;20;22;21;21;21
2;Samhällsekonomi och finansförvaltning;22;22;22;23;23
3;Skatt, tull och exekution;14;16;16;16;16
4;Rättsväsendet;86;94;104;108;111
5;Internationell samverkan;3;3;3;3;3
6;Försvar och samhällets krisberedskap;164;221;234;206;209
7;Internationellt bistånd;45;46;44;44;46
8;Migration;10;13;12;12;11
9;Hälsovård, sjukvård och social omsorg;116;127;126;120;114
10;Ekonomisk trygghet vid sjukdom och funktionsnedsättning;120;122;123;123;124
11;Ekonomisk trygghet vid ålderdom;62;60;58;58;59
12;Ekonomisk trygghet för familjer och barn;101;102;103;106;108
13;Integration och jämställdhet;6;6;3;3;2
14;Arbetsmarknad och arbetsliv;91;90;89;88;87
15;Studiestöd;31;31;36;37;38
16;Utbildning och universitetsforskning;102;105;107;107;107
17;Kultur, medier, trossamfund och fritid;17;17;17;17;17
18;Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik;3;2;2;2;2
19;Regional utveckling;4;5;5;4;4
20;Klimat, miljö och natur;13;18;19;17;14
21;Energi;5;10;8;8;9
22;Kommunikationer;89;104;111;121;127
23;Areella näringar, landsbygd och livsmedel;21;22;23;20;18
24;Näringsliv;8;9;11;9;9
25;Allmänna bidrag till kommuner;173;181;182;184;184
26;Statsskuldsräntor m.m.;30;26;31;39;30
27;Avgiften till Europeiska unionen;46;56;58;64;66
;Summa utgiftsområden;1402;1529;1566;1558;1562
;Minskning av anslagsbehållningar;0;0;-9;-8;-8
;Summa utgifter;1402;1529;1557;1550;1554
;Riksgäldskontorets nettoutlåning;-1;15;40;28;39
;Kassamässig korrigering;4;-2;0;0;0
;Summa;1406;1542;1597;1578;1593